Point(130.3812873 33.5573435)	Point(130.2527462 33.5854231):541 
Point(132.5769764 34.2548538):703 
Point(135.4235418 34.7126408):707 
Point(133.0128471 35.475041):708 
Point(130.601994 32.507843):709 
Point(130.601994 32.507843)	Point(130.7140311 32.8044066):503 
Point(130.4105582 33.6051041):709 
Point(130.4105582 33.6051041)	Point(130.2527462 33.5854231):538 
Point(134.7049696 34.78538020000001):710 
Point(134.7049696 34.78538020000001)	Point(134.8433809 34.727075):505 
Point(130.3080848 33.2568013):711 
Point(130.3080848 33.2568013)	Point(130.3755655 33.3045177):500 
Point(139.6494849 35.9727675):715 
Point(139.9765615 36.3096848):716 
Point(130.2020495 31.7590927):719 
Point(135.4523554 34.68306949999999):720 
Point(130.0946999 33.0968652):721 
Point(130.0946999 33.0968652)	Point(130.1504313 33.1849969):512 
Point(130.8139589 33.3638379):721 
Point(130.5247161 33.6259658):724 
Point(135.5135548 34.7087221):725 
Point(135.5135548 34.7087221)	Point(135.5113011 34.604784):504 
Point(135.5135548 34.7087221)	Point(135.5212195 34.756319):505 
Point(135.5135548 34.7087221)	Point(135.4726219 34.6729017):564 
Point(129.289686 34.2102138):727 
Point(129.289686 34.2102138)	Point(129.2857639 34.2426737):559 
Point(140.1153436 35.5103903):731 
Point(139.5216362 36.05981939999999):738 
Point(139.5216362 36.05981939999999)	Point(139.5221929 36.06596):504 
Point(140.0175457 35.7935401):739 
Point(135.0609007 34.6287768):740 
Point(136.6331651 34.96528190000001):742 
Point(130.4285519 33.6066763):743 
Point(130.4285519 33.6066763)	Point(130.6939898 33.89368080000001):516 
Point(130.4285519 33.6066763)	Point(130.4334872 33.5533525):537 
Point(130.4285519 33.6066763)	Point(130.4385813 33.6719413):542 
Point(130.4285519 33.6066763)	Point(130.2527462 33.5854231):555 
Point(130.9266483 33.9894006):744 
Point(139.4401367 35.7854852):746 
Point(139.4401367 35.7854852)	Point(139.9717795 35.8439578):506 
Point(130.9395423 33.8302551):747 
Point(130.9395423 33.8302551)	Point(130.850335 33.8863949):500 
Point(130.9395423 33.8302551)	Point(130.9612121 33.8854016):535 
Point(139.8841693 35.8422674):749 
Point(139.8841693 35.8422674)	Point(139.9123927 35.7995549):532 
Point(139.8841693 35.8422674)	Point(139.880097 35.953403):617 
Point(134.9988343 34.7215534):750 
Point(130.3748333 32.7890493):755 
Point(130.3748333 32.7890493)	Point(130.7140311 32.8044066):523 
Point(135.3091548 34.3987719):755 
