1	7716
2	4202
3	2623
4	1909
5	1409
6	1131
7	978
8	827
9	673
10	591
11	520
12	512
13	445
14	393
15	363
16	309
17	311
18	281
19	252
20	232
21	205
22	188
23	185
24	160
25	153
26	141
27	136
28	156
29	119
30	117
31	127
32	94
33	103
34	99
35	92
36	98
37	75
38	77
39	70
40	78
41	63
42	81
43	63
44	68
45	65
46	56
47	58
48	57
49	58
50	58
51	48
52	44
53	47
54	39
55	54
56	32
57	25
58	37
59	29
60	38
61	40
62	47
63	31
64	30
65	30
66	39
67	32
68	39
69	31
70	18
71	25
72	31
73	15
74	24
75	23
76	19
77	29
78	31
79	34
80	27
81	14
82	24
83	21
84	21
85	18
86	20
87	17
88	23
89	18
90	20
91	24
92	14
93	17
94	15
95	16
96	11
97	20
98	12
99	18
100	12
101	17
102	11
103	10
104	19
105	15
106	18
107	15
108	12
109	12
110	14
111	12
112	10
113	10
114	13
115	13
116	9
117	11
118	6
119	14
120	12
121	10
122	9
123	13
124	6
125	5
126	7
127	9
128	6
129	2
130	8
131	9
132	4
133	7
134	8
135	8
136	6
137	6
138	7
139	2
140	3
141	5
142	7
143	6
144	6
145	7
146	4
147	3
148	5
149	3
150	4
151	7
152	5
153	9
154	4
155	5
156	4
157	5
158	4
159	8
160	6
161	6
162	4
163	2
164	2
165	3
166	3
167	5
168	4
169	3
170	6
171	3
172	2
173	4
174	10
175	2
176	8
177	5
178	7
179	4
180	4
181	6
182	4
183	5
184	3
185	4
186	5
187	3
188	10
189	3
190	1
191	1
192	5
193	1
194	3
195	1
196	4
197	6
198	3
199	3
201	6
202	2
203	8
205	2
206	1
207	7
208	5
209	3
210	3
211	4
212	3
213	5
214	3
215	5
216	3
217	3
218	1
219	3
221	6
222	4
223	1
224	2
225	1
226	2
227	2
228	3
229	4
230	4
231	3
232	3
233	6
234	5
235	4
236	4
237	1
238	5
239	2
240	1
241	1
242	2
243	1
244	2
245	1
246	4
247	5
248	4
249	1
250	1
252	1
253	3
254	1
255	1
256	1
257	2
258	2
259	1
260	1
261	3
262	1
263	2
264	4
266	1
267	4
268	3
269	1
270	2
271	1
272	3
273	3
274	1
275	2
276	2
277	4
278	1
280	1
281	2
282	2
283	1
284	1
285	1
287	1
288	2
289	1
290	1
291	1
292	1
293	1
294	2
295	2
296	3
297	3
298	1
299	2
300	2
301	3
303	2
304	2
307	1
308	3
309	1
310	2
311	2
313	1
315	1
320	1
321	1
322	2
324	3
325	2
326	1
327	1
329	1
330	4
331	1
332	2
334	2
336	2
337	3
338	1
341	2
349	1
350	2
353	1
355	3
356	2
358	1
359	2
360	1
363	1
364	1
365	2
366	1
367	1
368	3
369	4
370	1
371	1
372	1
375	1
380	2
382	1
384	2
385	2
386	2
387	1
389	1
390	2
391	1
394	1
395	1
399	1
403	1
405	1
407	1
409	1
410	1
411	1
413	1
414	1
415	1
418	1
419	1
420	1
424	2
425	2
426	2
433	1
434	1
435	2
439	1
440	1
444	1
459	1
461	1
464	1
467	1
468	2
475	2
478	1
485	1
498	1
501	1
