Point(130.6384926 32.5010333)	3597
Point(140.5781487 39.3100292)	3125
Point(130.6999328 33.0093764)	2687
Point(139.9717795 35.8439578)	2571
Point(133.7597423 34.5165856)	2379
Point(130.8163704 32.7914033)	2296
Point(136.5916468 34.9816252)	2266
Point(133.8171478 34.6075268)	2165
Point(133.3943468 34.4692547)	2163
Point(139.6681689 36.0701176)	2152
Point(140.0900293 35.5199404)	2143
Point(135.4580715 34.5435805)	2044
Point(138.5683089 35.6620982)	2009
Point(139.6623882 36.0656055)	2006
Point(135.4910591 34.6227715)	1963
Point(130.7140311 32.8044066)	1940
Point(139.880097 35.953403)	1911
Point(133.8362679 34.5899827)	1911
Point(138.9955116 36.33801589999999)	1898
Point(130.6118229 32.5174703)	1859
Point(135.2734005 34.3659929)	1825
Point(133.4605487 34.4942837)	1820
Point(139.7962265 35.8959041)	1743
Point(137.4479205 34.7252843)	1730
Point(133.6627923 34.1284249)	1726
Point(139.5197372 35.8033447)	1711
Point(133.8265408 34.5995481)	1704
Point(135.6280019 34.7662331)	1619
Point(133.7401624 34.5278135)	1616
Point(138.7129066 35.7037494)	1584
Point(138.558107 35.6362127)	1565
Point(140.4262903 36.3927472)	1555
Point(139.9123927 35.7995549)	1542
Point(133.7570366 34.5800143)	1522
Point(130.4461332 33.0301519)	1509
Point(133.7708994 34.4767912)	1495
Point(133.5500676 33.9810411)	1485
Point(133.0801232 33.9316927)	1484
Point(139.7113021 35.6837071)	1449
Point(133.8231236 34.6463042)	1432
Point(133.4120217 34.5119416)	1431
Point(133.1917875 33.9177615)	1426
Point(133.8099335 34.4693573)	1415
Point(133.5860325 33.9921791)	1408
Point(139.1777779 36.0184188)	1403
Point(141.1401285 39.1440371)	1379
Point(131.4740591 32.0239101)	1377
Point(134.9715895 34.6485439)	1365
Point(135.5973071 34.6680742)	1363
Point(130.7303117 33.74663)	1358
Point(139.9647304 35.7135174)	1357
Point(135.5018183 34.530998)	1355
Point(139.2787963 36.1859318)	1344
Point(130.4671466 33.2544504)	1341
Point(134.8433809 34.727075)	1337
Point(138.5499996 35.6721125)	1336
Point(130.7141951 32.7262946)	1320
Point(130.9403851 33.3280901)	1313
Point(130.5548872 31.5638531)	1310
Point(136.938086 34.8946169)	1309
Point(130.2105074 33.5646022)	1297
Point(133.2817621 33.9564235)	1292
Point(130.5590789 32.9314599)	1286
Point(130.4349005 33.0344876)	1284
Point(130.2527462 33.5854231)	1277
Point(132.7283802 33.8225127)	1276
Point(139.378643 35.8322468)	1266
Point(133.2804705 33.9321902)	1264
Point(130.1504313 33.1849969)	1262
Point(135.4592882 34.4462013)	1245
Point(139.7316932 36.0754341)	1243
Point(139.4158599 36.0311435)	1242
Point(139.6056592 35.9519803)	1241
Point(135.4520136 34.5131898)	1230
Point(130.8073796 33.9015062)	1222
Point(130.540609 33.8046154)	1219
Point(135.5608747 34.7363332)	1211
Point(133.7758944 34.6007931)	1210
Point(129.9952934 32.3795734)	1202
Point(140.0772685 35.8623423)	1200
Point(135.4726219 34.6729017)	1197
Point(139.6738304 35.9070624)	1188
Point(136.1929755 34.079752)	1181
Point(135.366139 34.4357717)	1176
Point(130.8293822 33.8952617)	1172
